gene,log2FoldChange,AveExpr,t,pvalue,padj,B
ASNSP1                   ,-0.6091771572901248,-4.671579900416704,-2.7971523362617594,0.00683640660935733,0.04280157662751575,-2.383741777751868
ATAD3C                   ,0.5945428762855033,0.14986176448884497,3.7987266830101083,0.00033085134500427586,0.007491884367840333,0.16339034566083654
ATG2A                    ,0.6249715668660496,4.509239540524733,9.801836199897256,2.83368604651785e-14,5.578961088384343e-10,22.072409745769622
ATP2A3                   ,0.7858331961038633,0.1851237351044745,4.471605130910826,3.324465397319262e-05,0.0016101371400349723,2.200327120348472
ATP6V0A4                 ,-0.5800036640129542,-1.074637670177471,-2.9363340913437384,0.004637812565037665,0.036763338055638944,-2.0804596693821775
ATP6V0D1-DT              ,0.5991677312247687,1.4501853652423875,5.328598505130929,1.4273529552666676e-06,0.00017729794942138895,5.1163381485774835
B3GNT8                   ,0.6532613544981631,-0.9562757053554681,3.6376775808769746,0.0005573454849199626,0.010535782916086629,-0.3037173510954734
B4GALNT2                 ,-0.8907581121901069,-3.5067814786457183,-3.320598426194245,0.0015001177538721334,0.02039662868662608,-1.1801381751051965
BAHCC1                   ,0.6997236993452773,4.109641410036308,5.576641184386715,5.542861463510049e-07,9.215962264111588e-05,5.981086881871999
BALR6                    ,-1.2863741953703802,-1.830258764731304,-4.341866982635714,5.248707525927106e-05,0.0021681996154073366,1.5983977910364873
BANCR                    ,-0.6379806032222666,-4.42037556389103,-2.7416696093678157,0.00795423380334818,0.047262096007339355,-2.5033664718497373
BCAM                     ,0.9205952793383816,2.308679530262473,7.28230071911214,6.556572209809407e-10,6.619784290601415e-07,12.345412741537611
BFSP2-AS1                ,-0.7414607498986463,-3.7662743632656825,-2.6171867747943254,0.011096224599691232,0.058490621129510305,-2.762009450677716
BGLT3                    ,-0.6812063435633045,-4.39727556599368,-2.8130977108098216,0.0065429896072237625,0.0416080036779785,-2.347916445383654
BMP10                    ,-0.7041212128323888,-4.680986133644218,-3.506075059585817,0.0008457455563726656,0.013899030479019232,-0.6895318280305052
BMP4                     ,0.8506479134579918,-0.1332964365402522,3.419454193030465,0.0011077015197181923,0.016596976803814133,-0.8875763566474877
BOK-AS1                  ,0.7079467236870338,-1.6635707777526472,3.0463488525738494,0.0033855753886361593,0.0322551213411414,-1.8170717379960428
BOLL                     ,-0.6680737415940338,-0.8508919512122376,-3.294338268500146,0.0016245721456038635,0.021280489955188865,-1.2066466015259714
BPIFA4P                  ,-0.7111157261404704,-4.389248423760232,-2.9375484220248076,0.0046219059225930505,0.036763338055638944,-2.070209826014446
BSN-DT                   ,0.5908642181707883,-0.3011327643963276,3.231034845888595,0.001965738388518124,0.023659566472773765,-1.378056078756992
BTN2A3P                  ,-0.7927344662608362,-1.4877215316883143,-3.1188109377126003,0.0027414074886272515,0.02823872732448262,-1.6437250022800107
C10orf105                ,0.7784402929082982,0.3418754068981287,2.9412317943014896,0.00457396594355213,0.036763338055638944,-2.1386570785212746
C10orf53                 ,-0.745559534599741,-3.692594033101809,-2.274503947268462,0.026364255386087398,0.09932251435922095,-3.428488239091174
C13orf42                 ,-0.6966578811070643,-3.8134338426446557,-2.3945862726473077,0.01963813226266738,0.0825262642449083,-3.2048274860055397
C14orf180                ,1.0908449322526717,0.33622131081391204,4.763709134100348,1.1644825168347799e-05,0.0007536032043472434,3.14322176846321
C16orf78                 ,-0.686850808231374,-4.6953589625688785,-3.2525407788470435,0.0018429142025253387,0.02291144157489786,-1.3252026460093909
C18orf63                 ,-0.6182735200513578,-4.300429536822372,-2.6219995093540014,0.010956288214582777,0.05796448475814441,-2.7557899907550407
C1QL4                    ,0.7243694385559891,-3.4866267334388588,2.8092833062508196,0.006612105250598444,0.041912146868571205,-2.3564752727757976
C1QTNF1                  ,0.8844408206916642,1.3900455630854454,4.353368275053375,5.041691641179693e-05,0.0021254994653435934,1.8349830301291084
C1QTNF12                 ,0.8396906105600976,-2.152207801715676,3.1154727923368353,0.0027683700341955718,0.02838732772564709,-1.6590184559151582
C2orf66                  ,-0.5962291556856574,-1.5030569039906096,-2.2818589108741154,0.025900053604042732,0.0982185301636683,-3.449518866915722
C2orf78                  ,-0.803735020919619,-3.849549523691323,-2.5303671156011527,0.013915996806323487,0.06782397183482557,-2.9389023830493475
C3orf36                  ,-0.7118717355467834,-2.6277200003118972,-2.698458934338511,0.008938321017042927,0.05083855674809797,-2.592290859351907
C5orf67                  ,-0.6443611863607734,-3.674373967307103,-2.355399261124718,0.021642117418984565,0.08751346525676444,-3.2775375802394664
C8orf34-AS1              ,-0.6611640028763806,-0.12166571680044509,-4.362979229697485,4.874796482829597e-05,0.0020728940206036525,1.8481807690346317
CACNA1B-AS1              ,-0.58637658560479,1.6975794672635918,-2.956610319251641,0.004378750586175477,0.036763338055638944,-2.2354232589247682
CACNA2D1-AS1             ,-0.6024615871813412,1.6747197300540257,-4.817808233938766,9.560382286309438e-06,0.000660437917378457,3.3585304234154822
CALML6                   ,0.6063624243914436,-1.3676110706325162,2.464398889472833,0.016475467145026387,0.07490613302538389,-3.099472311268018
CAPN15                   ,0.63806077984643,3.900181931770398,6.627089057719876,9.024956030493928e-09,4.738222248756385e-06,9.921630274224587
CAPN6                    ,-0.7730063395392355,-4.279311788528892,-2.601939083812961,0.011550370907615657,0.05989957080074698,-2.797216344876463
CAPZA3                   ,-0.6122635129973242,-4.631321529070606,-2.8293060252630347,0.006256657820280962,0.04039806116116587,-2.312722449709606
CARD11-AS1               ,-0.6654334183442439,-4.453585021780905,-2.630653306853568,0.010708701248670132,0.0571130733262407,-2.7391311418692372
CARD14                   ,0.6703992421953444,0.3826962979807535,4.2872708427758175,6.349247455861882e-05,0.002448657863095176,1.630486415013089
CARMN                    ,1.0193376509530643,-0.21852845005357702,4.8182576981965,9.544694077705873e-06,0.000660437917378457,3.2678877199335776
CARNS1                   ,1.0079589919949123,5.26892146101981,3.9892106913656873,0.00017588215742325914,0.004913397981983914,0.4788879291244674
CASC9                    ,-0.6905062726964122,-4.212549849128038,-3.0103872882242593,0.003755282548592095,0.03446806658120334,-1.904773115456491
CASKIN1                  ,0.6808132352589347,6.214304439086072,6.830937072442174,4.002164726601658e-09,2.478067222927049e-06,10.69319767310537
CASKIN2                  ,0.6458234774068505,3.8251538693215705,6.21996671736847,4.52865571516652e-08,1.564213574038569e-05,8.379065992065069
