gene,log2FoldChange,AveExpr,t,pvalue,padj,B
LOC105373601             ,-1.0642151566509015,-4.455831877271387,-4.402506123338298,4.2430436188642956e-05,0.0018978608972663466,1.7613213835670054
LOC105373696             ,-1.3493358744730837,-4.137164591871313,-5.826478320541016,2.1120599135438438e-07,4.725254042937636e-05,6.064752290130963
LOC105373770             ,-1.1182824438952443,-2.9105237425935773,-4.0792451155837055,0.00012977300980690845,0.004052293445009379,0.7820672184685895
LOC105374659             ,-1.01565085216977,-2.471233228280582,-3.514743710721489,0.0008230435285763112,0.013605441637792119,-0.6983560387190275
LOC105374732             ,-1.0024316295211033,-4.464467808544327,-3.78597774704365,0.000344945876578797,0.007734959473899038,0.039063441426225864
LOC105374949             ,-1.2112524859639184,-2.698244435481753,-3.997160097431965,0.00017124686997541352,0.004840353554064531,0.5645989729317167
LOC105375181             ,-1.1585548987831917,-2.286567803830213,-4.138263818865802,0.00010613363891439988,0.0035386267281061895,0.9692939362970767
LOC105375553             ,-1.7496784373439653,-3.674902375198942,-4.303499933480322,6.000647920030635e-05,0.0023699248996903338,1.4334129593399298
LOC105376375             ,-1.293647367509738,-2.502306335266624,-3.7241797646742776,0.0004218127951196327,0.008872493768068201,-0.15614255795248422
LOC105376755             ,-1.073364970169432,-3.7893775611888025,-3.6872769979411495,0.0004752562639868025,0.009567326508560499,-0.2481554189183317
LOC105377516             ,-1.1404314070989412,-4.038640307183538,-4.0608806572879494,0.00013811281205330974,0.004215703533757306,0.7667031899242867
LOC105377850             ,-1.03790754969847,-3.1348894206347375,-3.6665559701956476,0.0005080391929900639,0.009957129616553385,-0.3166160037286865
LOC105378573             ,1.043664448741328,-0.9083334372428563,4.688343246700241,1.5304483017415298e-05,0.0008981062940294259,2.7658177071952252
LOC105379026             ,-1.0534327384313138,-3.160886146144021,-3.9994500309717202,0.0001699335843670591,0.004821289939851078,0.5655574924205444
LOC105379481             ,1.153323870843594,-3.437522970436867,3.00768012040819,0.003784582588139257,0.03468848323802872,-1.9153249195216944
LOC105379599             ,1.235291620625076,-0.7045654270614357,4.819237795391198,9.510571776971077e-06,0.000660437917378457,3.202903699504443
LOC107984040             ,-1.1333515772878893,-0.08914552533211298,-3.8181293084639436,0.0003104545819991658,0.007148929529619698,0.2196498462410128
LOC107984642             ,-1.1111996260453343,-3.5342313921289903,-3.3524222946287057,0.0013613427348481157,0.019261312083140282,-1.101124275482551
LOC107985138             ,-1.0012167683839894,-0.6191121154849505,-5.714494634672636,3.259311740225318e-07,6.449178848397595e-05,6.161029729706213
LOC107985680             ,-1.0085840647136233,-0.9408533975807135,-3.8677237207104387,0.00026365166589533014,0.006467659938242084,0.3346571692263165
